,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Tên dự án:,Delivery Management System,Số test case:,716,,,,,,,,,,,
16,,,,,,,4,Click nút Đăng nhập,Button ID: btn-login,"Form không được submit. Hiển thị thông báo validation: ""Vui lòng nhập email/username và mật khẩu.""",,,,
17,Aut_DN_TC_05,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra đăng nhập khi để trống trường Password,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Mở trang /login,URL: http://localhost:3000/login,,,,,High
18,,,,,,,2,Nhập email hợp lệ,Email: test@example.com,,,,,
19,,,,,,,3,Để trống trường Password,Password: (rỗng),,,,,
20,,,,,,,4,Click nút Đăng nhập,Button ID: btn-login,"Form không được submit. Hiển thị thông báo validation: ""Vui lòng nhập email/username và mật khẩu.""",,,,
21,Aut_DN_TC_06,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra thông báo lỗi khi Email sai định dạng,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Mở trang /login,URL: http://localhost:3000/login,,,,,High
22,,,,,,,2,Nhập email sai định dạng,Email: invalidemail (không có @),,,,,
23,,,,,,,3,Nhập mật khẩu,Password: Pass@123456,,,,,
24,,,,,,,4,Click nút Đăng nhập hoặc rời khỏi field,Button/Field blur,"Form không được submit hoặc hiển thị lỗi validation: ""Email không hợp lệ.""",,,,
25,Aut_DN_TC_07,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra tính năng duy trì đăng nhập (Remember me),User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Mở trang /login,URL: http://localhost:3000/login,,,,,High
26,,,,,,,2,Nhập email,Email: test@example.com,,,,,
27,,,,,,,3,Nhập mật khẩu,Password: Pass@123456,,,,,
28,,,,,,,4,"Check checkbox ""Remember me""",Checkbox ID: remember-me,,,,,
29,,,,,,,5,Click Đăng nhập,Button click,Đăng nhập thành công. Cookie được lưu để session duy trì.,,,,
30,Aut_DN_TC_08,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra khả năng đăng nhập bằng phím Enter,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Mở trang /login,URL: http://localhost:3000/login,,,,,High
31,,,,,,,2,Nhập email,Email: test@example.com,,,,,
32,,,,,,,3,Nhập mật khẩu,Password: Pass@123456,,,,,
33,,,,,,,4,Nhấn phím Enter,Key: Enter,Đăng nhập thành công như click nút. Chuyển hướng tới Dashboard.,,,,
34,Aut_DN_TC_09,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra tính bảo mật (ẩn ký tự) của mật khẩu,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Mở trang /login,URL: http://localhost:3000/login,,,,,High
35,,,,,,,2,Nhập mật khẩu vào field,Password: Pass@123456,"Field password hiển thị dấu * thay vì chữ thực. Nút ""Hiển thị/Ẩn"" (eye icon) khả dụng.",,,,
36,Aut_DN_TC_10,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra chức năng Đăng xuất (Log out),User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Đã đăng nhập sẵn,JWT Token hợp lệ,,,,,High
37,,,,,,,2,Tìm nút Đăng xuất (Logout),Button ID: btn-logout,,,,,
38,,,,,,,3,Click nút Đăng xuất,Button click,Đăng xuất thành công. JWT Token được xóa. Chuyển hướng tới trang /login.,,,,
39,Aut_DN_TC_11,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra tính hợp lệ của Session khi nhấn nút Back,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra tính hợp lệ của Session khi nhấn nút Back,Test Data TBD,Expected Result TBD,,,,High
40,Aut_DN_TC_12,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra liên kết điều hướng sang trang Đăng ký,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra liên kết điều hướng sang trang Đăng ký,Test Data TBD,Expected Result TBD,,,,High
41,Aut_DN_TC_13,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra tính năng khôi phục mật khẩu,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra tính năng khôi phục mật khẩu,Test Data TBD,Expected Result TBD,,,,High
42,Aut_DN_TC_14,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra tính phân biệt chữ hoa/thường của mật khẩu,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra tính phân biệt chữ hoa/thường của mật khẩu,Test Data TBD,Expected Result TBD,,,,High
43,Aut_DN_TC_15,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra tự động cắt khoảng trắng trong Email,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra tự động cắt khoảng trắng trong Email,Test Data TBD,Expected Result TBD,,,,High
44,Aut_DN_TC_16,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra khả năng chống tấn công SQL Injection,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra khả năng chống tấn công SQL Injection,Test Data TBD,Expected Result TBD,,,,High
45,Aut_DN_TC_17,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra giới hạn độ dài mật khẩu (Max length),User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra giới hạn độ dài mật khẩu (Max length),Test Data TBD,Expected Result TBD,,,,High
46,Aut_DN_TC_18,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra đăng nhập với mật khẩu tối thiểu (1 ký tự),User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra đăng nhập với mật khẩu tối thiểu (1 ký tự),Test Data TBD,Expected Result TBD,,,,High
47,Aut_DN_TC_19,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra di chuyển tiêu điểm bằng phím Tab,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra di chuyển tiêu điểm bằng phím Tab,Test Data TBD,Expected Result TBD,,,,High
48,Aut_DN_TC_20,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra tính năng Copy/Paste vào form Login,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra tính năng Copy/Paste vào form Login,Test Data TBD,Expected Result TBD,,,,High
49,Aut_DN_TC_21,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra trạng thái form sau khi tải lại trang (F5),User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra trạng thái form sau khi tải lại trang (F5),Test Data TBD,Expected Result TBD,,,,High
50,Aut_DN_TC_22,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra đồng bộ trạng thái đăng nhập trên nhiều Tab,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra đồng bộ trạng thái đăng nhập trên nhiều Tab,Test Data TBD,Expected Result TBD,,,,High
51,Aut_DN_TC_23,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra giao diện Login trên chế độ Mobile,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra giao diện Login trên chế độ Mobile,Test Data TBD,Expected Result TBD,,,,High
52,Aut_DN_TC_24,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra thời gian phản hồi khi đăng nhập,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra thời gian phản hồi khi đăng nhập,Test Data TBD,Expected Result TBD,,,,High
53,Aut_DN_TC_25,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra đăng nhập khi không có internet,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra đăng nhập khi không có internet,Test Data TBD,Expected Result TBD,,,,High
54,Aut_DN_TC_26,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra quay lại trang chủ bằng Logo,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra quay lại trang chủ bằng Logo,Test Data TBD,Expected Result TBD,,,,High
55,Aut_DN_TC_27,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra Email chứa các ký tự đặc biệt không hợp lệ,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra Email chứa các ký tự đặc biệt không hợp lệ,Test Data TBD,Expected Result TBD,,,,High
56,Aut_DN_TC_28,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra tính năng tự động điền (Autofill),User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra tính năng tự động điền (Autofill),Test Data TBD,Expected Result TBD,,,,High
57,Aut_DN_TC_29,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra thông tin Tiêu đề (Page Title) trang Login,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra thông tin Tiêu đề (Page Title) trang Login,Test Data TBD,Expected Result TBD,,,,High
58,Aut_DN_TC_30,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra đăng nhập tài khoản đã bị khóa (Deactivated),User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Mở trang /login,URL: http://localhost:3000/login,,,,,High
59,,,,,,,2,Nhập email tài khoản bị khóa,Email: locked@example.com,,,,,
60,,,,,,,3,Nhập mật khẩu,Password: Pass@123456,,,,,
61,,,,,,,4,Click Đăng nhập,Button click,"Hiển thị thông báo: ""Tài khoản của bạn đã bị khóa. Liên hệ admin.""",,,,
62,Aut_DN_TC_31,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,"Kiểm tra thứ tự điền thông tin (Pass trước, Email sau)",User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,"Kiểm tra thứ tự điền thông tin (Pass trước, Email sau)",Test Data TBD,Expected Result TBD,,,,High
63,Aut_DN_TC_32,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra hành vi khi xóa dữ liệu sau khi đã nhập,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra hành vi khi xóa dữ liệu sau khi đã nhập,Test Data TBD,Expected Result TBD,,,,High
64,Aut_DN_TC_33,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra hiệu ứng nút Login khi di chuột (Hover),User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra hiệu ứng nút Login khi di chuột (Hover),Test Data TBD,Expected Result TBD,,,,High
65,Aut_DN_TC_34,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra tự động đăng xuất khi hết hạn phiên làm việc,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Đã đăng nhập sẵn,JWT Token hợp lệ,,,,,High
66,,,,,,,2,Tìm nút Đăng xuất (Logout),Button ID: btn-logout,,,,,
67,,,,,,,3,Click nút Đăng xuất,Button click,Đăng xuất thành công. JWT Token được xóa. Chuyển hướng tới trang /login.,,,,
68,Aut_DN_TC_35,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra tính chính xác của URL trang đăng nhập,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra tính chính xác của URL trang đăng nhập,Test Data TBD,Expected Result TBD,,,,High
69,Aut_DK_TC_01,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Đăng ký thành công với thông tin hợp lệ,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Mở trang /register,URL: http://localhost:3000/register,,,,,High
70,,,,,,,2,Nhập First Name,First Name: Nguyễn,,,,,
71,,,,,,,3,Nhập Last Name,Last Name: Văn A,,,,,
72,,,,,,,4,Nhập Email,Email: nguyenvana@example.com,,,,,
73,,,,,,,5,Nhập Password,"Password: Pass@123456 (min 8 chars, upper, lower, digit, special)",,,,,
74,,,,,,,6,Nhập Confirm Password,Confirm Pass: Pass@123456,,,,,
75,,,,,,,7,Chọn Gender,Gender: Male,,,,,
76,,,,,,,8,Click nút Register,Button ID: btn-register,Tài khoản tạo thành công. Email verification được gửi. Chuyển tới trang xác nhận email.,,,,
77,Aut_DK_TC_02,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Kiểm tra để trống toàn bộ form,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Mở trang /register,URL: http://localhost:3000/register,,,,,High
78,,,,,,,2,Để trống First Name,First Name: (rỗng),,,,,
79,,,,,,,3,Để trống Last Name,Last Name: (rỗng),,,,,
80,,,,,,,4,Để trống Email,Email: (rỗng),,,,,
81,,,,,,,5,Để trống Password,Password: (rỗng),,,,,
82,,,,,,,6,Để trống Confirm Password,Confirm Pass: (rỗng),,,,,
83,,,,,,,7,Click nút Register,Button ID: btn-register,Form không được submit. Validation errors hiển thị cho tất cả trường.,,,,
84,Aut_DK_TC_03,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Đăng ký thất bại do Email đã tồn tại,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Mở trang /register,URL: http://localhost:3000/register,,,,,High
85,,,,,,,2,Nhập First Name,First Name: Nguyễn,,,,,
86,,,,,,,3,Nhập Last Name,Last Name: Văn A,,,,,
87,,,,,,,4,Nhập Email đã tồn tại,Email: admin@example.com,,,,,
88,,,,,,,5,Nhập Password hợp lệ,Password: Pass@123456,,,,,
89,,,,,,,6,Nhập Confirm Password,Confirm Pass: Pass@123456,,,,,
90,,,,,,,7,Chọn Gender,Gender: Male,,,,,
91,,,,,,,8,Click Register,Button ID: btn-register,"Thông báo lỗi: ""Email này đã tồn tại trong hệ thống.""",,,,
92,Aut_DK_TC_04,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Kiểm tra mật khẩu xác nhận không khớp,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Mở trang /register,URL: http://localhost:3000/register,,,,,High
93,,,,,,,2,Nhập First Name,First Name: Nguyễn,,,,,
94,,,,,,,3,Nhập Last Name,Last Name: Văn A,,,,,
95,,,,,,,4,Nhập Email,Email: nguyenvana2@example.com,,,,,
96,,,,,,,5,Nhập Password,Password: Pass@123456,,,,,
97,,,,,,,6,Nhập Confirm Password khác,Confirm Pass: DifferentPass@123,,,,,
98,,,,,,,7,Chọn Gender,Gender: Female,,,,,
99,,,,,,,8,Click Register,Button ID: btn-register,"Thông báo lỗi: ""Mật khẩu xác nhận không khớp với mật khẩu.""",,,,
100,Aut_DK_TC_05,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Email sai định dạng (thiếu @),User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Mở trang /register,URL: http://localhost:3000/register,,,,,High
101,,,,,,,2,Nhập First Name,First Name: Nguyễn,,,,,
102,,,,,,,3,Nhập Last Name,Last Name: Văn A,,,,,
103,,,,,,,4,Nhập Email sai định dạng,Email: invalidemail,,,,,
104,,,,,,,5,Nhập Password,Password: Pass@123456,,,,,
105,,,,,,,6,Nhập Confirm Password,Confirm Pass: Pass@123456,,,,,
106,,,,,,,7,Click Register hoặc rời field,Button/Blur event,"Thông báo lỗi: ""Email không hợp lệ. Vui lòng nhập email đúng định dạng.""",,,,
107,Aut_DK_TC_06,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Để trống trường First Name,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Mở trang /register,URL: http://localhost:3000/register,,,,,High
108,,,,,,,2,Để trống First Name,First Name: (rỗng),,,,,
109,,,,,,,3,Nhập Last Name,Last Name: Văn A,,,,,
110,,,,,,,4,Nhập Email,Email: test@example.com,,,,,
111,,,,,,,5,Nhập Password,Password: Pass@123456,,,,,
112,,,,,,,6,Nhập Confirm Password,Confirm Pass: Pass@123456,,,,,
113,,,,,,,7,Click Register,Button ID: btn-register,"Thông báo lỗi: ""Vui lòng nhập first name.""",,,,
114,Aut_DK_TC_07,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Để trống trường Last Name,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Mở trang /register,URL: http://localhost:3000/register,,,,,High
115,,,,,,,2,Nhập First Name,First Name: Nguyễn,,,,,
116,,,,,,,3,Để trống Last Name,Last Name: (rỗng),,,,,
117,,,,,,,4,Nhập Email,Email: test@example.com,,,,,
118,,,,,,,5,Nhập Password,Password: Pass@123456,,,,,
119,,,,,,,6,Nhập Confirm Password,Confirm Pass: Pass@123456,,,,,
120,,,,,,,7,Click Register,Button ID: btn-register,"Thông báo lỗi: ""Vui lòng nhập last name.""",,,,
121,Aut_DK_TC_08,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Để trống trường Email,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Mở trang /register,URL: http://localhost:3000/register,,,,,High
122,,,,,,,2,Nhập First Name,First Name: Nguyễn,,,,,
123,,,,,,,3,Nhập Last Name,Last Name: Văn A,,,,,
124,,,,,,,4,Để trống Email,Email: (rỗng),,,,,
125,,,,,,,5,Nhập Password,Password: Pass@123456,,,,,
126,,,,,,,6,Nhập Confirm Password,Confirm Pass: Pass@123456,,,,,
127,,,,,,,7,Click Register,Button ID: btn-register,"Thông báo lỗi: ""Vui lòng nhập email.""",,,,
128,Aut_DK_TC_09,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Để trống trường Password,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Mở trang /register,URL: http://localhost:3000/register,,,,,High
129,,,,,,,2,Nhập First Name,First Name: Nguyễn,,,,,
130,,,,,,,3,Nhập Last Name,Last Name: Văn A,,,,,
131,,,,,,,4,Nhập Email,Email: test@example.com,,,,,
132,,,,,,,5,Để trống Password,Password: (rỗng),,,,,
133,,,,,,,6,Nhập Confirm Password,Confirm Pass: Pass@123456,,,,,
134,,,,,,,7,Click Register,Button ID: btn-register,"Thông báo lỗi: ""Vui lòng nhập mật khẩu.""",,,,
135,Aut_DK_TC_10,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Độ dài Password tối thiểu ( < 6 ký tự),User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Mở trang /register,URL: http://localhost:3000/register,,,,,High
136,,,,,,,2,Nhập First Name,First Name: Nguyễn,,,,,
137,,,,,,,3,Nhập Last Name,Last Name: Văn A,,,,,
138,,,,,,,4,Nhập Email,Email: test@example.com,,,,,
139,,,,,,,5,Nhập Password quá ngắn,Password: Pass1 (5 chars < 8 required),,,,,
140,,,,,,,6,Nhập Confirm Password,Confirm Pass: Pass1,,,,,
141,,,,,,,7,Click Register,Button ID: btn-register,"Thông báo lỗi: ""Mật khẩu phải có ít nhất 8 ký tự.""",,,,
142,Aut_DK_TC_11,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Kiểm tra tính năng Radio Button Gender,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Mở trang /register,URL: http://localhost:3000/register,,,,,High
143,,,,,,,2,Nhập các field khác hợp lệ,First/Last/Email/Password filled,,,,,
144,,,,,,,3,Click Radio Button Male,Radio: Male checked,,,,,
145,,,,,,,4,Click Radio Button Female,Radio: Female checked,,,,,
146,,,,,,,5,Click Radio Button Other,Radio: Other checked,,,,,
147,,,,,,,6,Verify chỉ 1 được chọn,Only 1 radio selected at a time,Radio buttons hoạt động đúng: chỉ 1 option được chọn.,,,,
148,Aut_DK_TC_12,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Kiểm tra thứ tự Tab trên bàn phím,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra thứ tự Tab trên bàn phím,Test Data TBD,Expected Result TBD,,,,High
149,Aut_DK_TC_13,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Nhập số/ký tự lạ vào First Name,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Nhập số/ký tự lạ vào First Name,Test Data TBD,Expected Result TBD,,,,High
150,Aut_DK_TC_14,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Nhập số/ký tự lạ vào Last Name,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Nhập số/ký tự lạ vào Last Name,Test Data TBD,Expected Result TBD,,,,High
151,Aut_DK_TC_15,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Copy-Paste Email dài,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Copy-Paste Email dài,Test Data TBD,Expected Result TBD,,,,High
152,Aut_DK_TC_16,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Click Register nhiều lần liên tiếp,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Click Register nhiều lần liên tiếp,Test Data TBD,Expected Result TBD,,,,High
153,Aut_DK_TC_17,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Password chỉ chứa khoảng trắng,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Password chỉ chứa khoảng trắng,Test Data TBD,Expected Result TBD,,,,High
154,Aut_DK_TC_18,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Email chứa khoảng trắng ở giữa,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Email chứa khoảng trắng ở giữa,Test Data TBD,Expected Result TBD,,,,High
155,Aut_DK_TC_19,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Chức năng quay lại trang Login,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Ở trang /register,Current page: /register,,,,,High
156,,,,,,,2,"Tìm liên kết ""Quay lại / Đăng nhập""","Link text: ""Đã có tài khoản?""",,,,,
157,,,,,,,3,Click liên kết,Link click,Chuyển hướng tới trang /login thành công.,,,,
158,Aut_DK_TC_20,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Kiểm tra hiển thị mật khẩu bảo mật,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra hiển thị mật khẩu bảo mật,Test Data TBD,Expected Result TBD,,,,High
159,Aut_DK_TC_21,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Kiểm tra Reset form bằng phím F5,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra Reset form bằng phím F5,Test Data TBD,Expected Result TBD,,,,High
160,Aut_DK_TC_22,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Giao diện Responsive Mobile,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Mở trang /register trên Mobile,Device: Mobile (375x667),,,,,High
161,,,,,,,2,Kiểm tra layout form,Form fields theo chiều dọc,,,,,
162,,,,,,,3,Kiểm tra input fields responsive,Width: 100% của container,,,,,
163,,,,,,,4,Kiểm tra buttons,Register button: full-width,,,,,
164,,,,,,,5,Kiểm tra spacing,Margin/padding hợp lệ,"Giao diện responsive đúng trên Mobile: các element rõ ràng, không bị cắt.",,,,
165,Aut_DK_TC_23,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Màu sắc thông báo lỗi (UI),User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Màu sắc thông báo lỗi (UI),Test Data TBD,Expected Result TBD,,,,High
166,Aut_DK_TC_24,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Kiểm tra tiêu đề trang (Title),User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra tiêu đề trang (Title),Test Data TBD,Expected Result TBD,,,,High
167,Aut_DK_TC_25,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Quay về Home bằng Logo,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Quay về Home bằng Logo,Test Data TBD,Expected Result TBD,,,,High
168,Aut_DK_TC_26,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Đăng ký khi đường truyền yếu,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Đăng ký khi đường truyền yếu,Test Data TBD,Expected Result TBD,,,,High
